timestamp,open,high,low,close
1772880660000,24628.888,24628.888,24628.888,24628.888
1772880720000,24628.888,24628.888,24628.888,24628.888
1772880780000,24628.888,24628.888,24628.888,24628.888
1772880840000,24628.888,24628.888,24628.888,24628.888
1772880900000,24628.888,24628.888,24628.888,24628.888
1772880960000,24628.888,24628.888,24628.888,24628.888
1772881020000,24628.888,24628.888,24628.888,24628.888
1772881080000,24628.888,24628.888,24628.888,24628.888
1772881140000,24628.888,24628.888,24628.888,24628.888
1772881200000,24628.888,24628.888,24628.888,24628.888
1772881260000,24628.888,24628.888,24628.888,24628.888
1772881320000,24628.888,24628.888,24628.888,24628.888
1772881380000,24628.888,24628.888,24628.888,24628.888
1772881440000,24628.888,24628.888,24628.888,24628.888
1772881500000,24628.888,24628.888,24628.888,24628.888
1772881560000,24628.888,24628.888,24628.888,24628.888
1772881620000,24628.888,24628.888,24628.888,24628.888
1772881680000,24628.888,24628.888,24628.888,24628.888
1772881740000,24628.888,24628.888,24628.888,24628.888
1772881800000,24628.888,24628.888,24628.888,24628.888
1772881860000,24628.888,24628.888,24628.888,24628.888
1772881920000,24628.888,24628.888,24628.888,24628.888
1772881980000,24628.888,24628.888,24628.888,24628.888
1772882040000,24628.888,24628.888,24628.888,24628.888
1772882100000,24628.888,24628.888,24628.888,24628.888
1772882160000,24628.888,24628.888,24628.888,24628.888
1772882220000,24628.888,24628.888,24628.888,24628.888
1772882280000,24628.888,24628.888,24628.888,24628.888
1772882340000,24628.888,24628.888,24628.888,24628.888
1772882400000,24628.888,24628.888,24628.888,24628.888
1772882460000,24628.888,24628.888,24628.888,24628.888
1772882520000,24628.888,24628.888,24628.888,24628.888
1772882580000,24628.888,24628.888,24628.888,24628.888
1772882640000,24628.888,24628.888,24628.888,24628.888
1772882700000,24628.888,24628.888,24628.888,24628.888
1772882760000,24628.888,24628.888,24628.888,24628.888
1772882820000,24628.888,24628.888,24628.888,24628.888
1772882880000,24628.888,24628.888,24628.888,24628.888
1772882940000,24628.888,24628.888,24628.888,24628.888
1772883000000,24628.888,24628.888,24628.888,24628.888
1772883060000,24628.888,24628.888,24628.888,24628.888
1772883120000,24628.888,24628.888,24628.888,24628.888
1772883180000,24628.888,24628.888,24628.888,24628.888
1772883240000,24628.888,24628.888,24628.888,24628.888
1772883300000,24628.888,24628.888,24628.888,24628.888
1772883360000,24628.888,24628.888,24628.888,24628.888
1772883420000,24628.888,24628.888,24628.888,24628.888
1772883480000,24628.888,24628.888,24628.888,24628.888
1772883540000,24628.888,24628.888,24628.888,24628.888
1772883600000,24628.888,24628.888,24628.888,24628.888
1772883660000,24628.888,24628.888,24628.888,24628.888
1772883720000,24628.888,24628.888,24628.888,24628.888
1772883780000,24628.888,24628.888,24628.888,24628.888
1772883840000,24628.888,24628.888,24628.888,24628.888
1772883900000,24628.888,24628.888,24628.888,24628.888
1772883960000,24628.888,24628.888,24628.888,24628.888
1772884020000,24628.888,24628.888,24628.888,24628.888
1772884080000,24628.888,24628.888,24628.888,24628.888
1772884140000,24628.888,24628.888,24628.888,24628.888
1772884200000,24628.888,24628.888,24628.888,24628.888
1772884260000,24628.888,24628.888,24628.888,24628.888
1772884320000,24628.888,24628.888,24628.888,24628.888
1772884380000,24628.888,24628.888,24628.888,24628.888
1772884440000,24628.888,24628.888,24628.888,24628.888
1772884500000,24628.888,24628.888,24628.888,24628.888
1772884560000,24628.888,24628.888,24628.888,24628.888
1772884620000,24628.888,24628.888,24628.888,24628.888
1772884680000,24628.888,24628.888,24628.888,24628.888
1772884740000,24628.888,24628.888,24628.888,24628.888
1772884800000,24628.888,24628.888,24628.888,24628.888
1772884860000,24628.888,24628.888,24628.888,24628.888
1772884920000,24628.888,24628.888,24628.888,24628.888
1772884980000,24628.888,24628.888,24628.888,24628.888
1772885040000,24628.888,24628.888,24628.888,24628.888
1772885100000,24628.888,24628.888,24628.888,24628.888
1772885160000,24628.888,24628.888,24628.888,24628.888
1772885220000,24628.888,24628.888,24628.888,24628.888
1772885280000,24628.888,24628.888,24628.888,24628.888
1772885340000,24628.888,24628.888,24628.888,24628.888
1772885400000,24628.888,24628.888,24628.888,24628.888
1772885460000,24628.888,24628.888,24628.888,24628.888
1772885520000,24628.888,24628.888,24628.888,24628.888
1772885580000,24628.888,24628.888,24628.888,24628.888
1772885640000,24628.888,24628.888,24628.888,24628.888
1772885700000,24628.888,24628.888,24628.888,24628.888
1772885760000,24628.888,24628.888,24628.888,24628.888
1772885820000,24628.888,24628.888,24628.888,24628.888
1772885880000,24628.888,24628.888,24628.888,24628.888
1772885940000,24628.888,24628.888,24628.888,24628.888
1772886000000,24628.888,24628.888,24628.888,24628.888
1772886060000,24628.888,24628.888,24628.888,24628.888
1772886120000,24628.888,24628.888,24628.888,24628.888
1772886180000,24628.888,24628.888,24628.888,24628.888
1772886240000,24628.888,24628.888,24628.888,24628.888
1772886300000,24628.888,24628.888,24628.888,24628.888
1772886360000,24628.888,24628.888,24628.888,24628.888
1772886420000,24628.888,24628.888,24628.888,24628.888
1772886480000,24628.888,24628.888,24628.888,24628.888
1772886540000,24628.888,24628.888,24628.888,24628.888
1772886600000,24628.888,24628.888,24628.888,24628.888
1772886660000,24628.888,24628.888,24628.888,24628.888
1772886720000,24628.888,24628.888,24628.888,24628.888
1772886780000,24628.888,24628.888,24628.888,24628.888
1772886840000,24628.888,24628.888,24628.888,24628.888
1772886900000,24628.888,24628.888,24628.888,24628.888
1772886960000,24628.888,24628.888,24628.888,24628.888
1772887020000,24628.888,24628.888,24628.888,24628.888
1772887080000,24628.888,24628.888,24628.888,24628.888
1772887140000,24628.888,24628.888,24628.888,24628.888
1772887200000,24628.888,24628.888,24628.888,24628.888
1772887260000,24628.888,24628.888,24628.888,24628.888
1772887320000,24628.888,24628.888,24628.888,24628.888
1772887380000,24628.888,24628.888,24628.888,24628.888
1772887440000,24628.888,24628.888,24628.888,24628.888
1772887500000,24628.888,24628.888,24628.888,24628.888
1772887560000,24628.888,24628.888,24628.888,24628.888
1772887620000,24628.888,24628.888,24628.888,24628.888
1772887680000,24628.888,24628.888,24628.888,24628.888
1772887740000,24628.888,24628.888,24628.888,24628.888
1772887800000,24628.888,24628.888,24628.888,24628.888
1772887860000,24628.888,24628.888,24628.888,24628.888
1772887920000,24628.888,24628.888,24628.888,24628.888
1772887980000,24628.888,24628.888,24628.888,24628.888
1772888040000,24628.888,24628.888,24628.888,24628.888
1772888100000,24628.888,24628.888,24628.888,24628.888
1772888160000,24628.888,24628.888,24628.888,24628.888
1772888220000,24628.888,24628.888,24628.888,24628.888
1772888280000,24628.888,24628.888,24628.888,24628.888
1772888340000,24628.888,24628.888,24628.888,24628.888
1772888400000,24628.888,24628.888,24628.888,24628.888
1772888460000,24628.888,24628.888,24628.888,24628.888
1772888520000,24628.888,24628.888,24628.888,24628.888
1772888580000,24628.888,24628.888,24628.888,24628.888
1772888640000,24628.888,24628.888,24628.888,24628.888
1772888700000,24628.888,24628.888,24628.888,24628.888
1772888760000,24628.888,24628.888,24628.888,24628.888
1772888820000,24628.888,24628.888,24628.888,24628.888
1772888880000,24628.888,24628.888,24628.888,24628.888
1772888940000,24628.888,24628.888,24628.888,24628.888
1772889000000,24628.888,24628.888,24628.888,24628.888
1772889060000,24628.888,24628.888,24628.888,24628.888
1772889120000,24628.888,24628.888,24628.888,24628.888
1772889180000,24628.888,24628.888,24628.888,24628.888
