entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,risk_distance,realized_distance,planned_sl,planned_tp,R,partial_tp_hit,partial_exit_time,partial_exit_price,entry_bar_time,exit_bar_time,entry_bar_low,entry_bar_high,exit_bar_low,exit_bar_high,entry_feasible,exit_feasible,violated_side
2024-06-10T17:00:00+00:00,2024-06-11T23:00:00+00:00,LONG,19023.548978571427,19226.75493571428,20320595.714285444,TP,101.60297857142723,203.20595714285446,18921.946,19226.75493571428,2.0,False,,,2024-06-10T17:00:00+00:00,2024-06-11T23:00:00+00:00,19020.719,19083.197,19220.32,19237.076,True,True,none
2024-06-14T18:00:00+00:00,2024-06-20T05:00:00+00:00,LONG,19649.190114285717,20042.796700000014,39360658.57142967,TP,196.80329285714834,393.60658571429667,19452.38682142857,20042.796700000014,2.0,False,,,2024-06-14T18:00:00+00:00,2024-06-20T05:00:00+00:00,19609.51,19654.598,20018.597,20045.975,True,True,none
2024-06-24T15:00:00+00:00,2024-06-26T07:00:00+00:00,SHORT,19627.271699999998,19778.938107142858,-15166640.71428604,SL,151.6664071428604,-151.6664071428604,19778.938107142858,19323.938885714277,-1.0,False,,,2024-06-24T15:00:00+00:00,2024-06-26T07:00:00+00:00,19600.889,19659.408,19728.575,19806.397,True,True,none
2024-06-28T14:00:00+00:00,2024-06-28T16:00:00+00:00,LONG,19896.907971428573,19818.950392857143,-7795757.8571429625,SL,77.95757857142962,-77.95757857142962,19818.950392857143,20052.823128571432,-1.0,False,,,2024-06-28T14:00:00+00:00,2024-06-28T16:00:00+00:00,19871.054,20022.743,19738.797,19866.81,True,True,none
2024-07-01T22:00:00+00:00,2024-07-05T14:00:00+00:00,LONG,19796.302028571426,20305.086157142843,50878412.857141666,TP,254.39206428570833,508.78412857141666,19541.909964285718,20305.086157142843,2.0,False,,,2024-07-01T22:00:00+00:00,2024-07-05T14:00:00+00:00,19788.964,19810.898,20232.875,20322.043,True,True,none
2024-07-08T14:00:00+00:00,2024-07-08T23:00:00+00:00,LONG,20390.085914285715,20490.46624285714,10038032.857142389,TP,50.190164285711944,100.38032857142389,20339.895750000003,20490.46624285714,2.0,False,,,2024-07-08T14:00:00+00:00,2024-07-08T23:00:00+00:00,20362.843,20416.465,20462.41,20513.765,True,True,none
2024-07-09T14:00:00+00:00,2024-07-09T15:00:00+00:00,LONG,20528.12465,20473.354357142856,-5477029.285714525,SL,54.77029285714525,-54.77029285714525,20473.354357142856,20637.665235714292,-1.0,False,,,2024-07-09T14:00:00+00:00,2024-07-09T15:00:00+00:00,20456.71,20547.399,20444.299,20494.864,True,True,none
2024-07-15T19:00:00+00:00,2024-07-15T20:00:00+00:00,LONG,20337.777407142858,20380.308,4253059.285714335,TP,5.9332357142848196,42.53059285714335,20343.710642857142,20325.910935714288,7.168195383633077,False,,,2024-07-15T19:00:00+00:00,2024-07-15T20:00:00+00:00,20302.71,20439.121,20380.308,20400.989,True,True,none
2024-07-18T15:00:00+00:00,2024-07-24T13:00:00+00:00,SHORT,19803.466864285714,19387.403235714286,41606362.85714281,TP,208.03181428571406,416.0636285714281,20011.498678571428,19387.403235714286,2.0,False,,,2024-07-18T15:00:00+00:00,2024-07-24T13:00:00+00:00,19593.108,19813.299,19330.876,19483.31,True,True,none
2024-07-25T14:00:00+00:00,2024-08-21T14:00:00+00:00,SHORT,18872.87154285714,19879.93389285714,-100706235.00000001,SL,1007.0623500000002,-1007.0623500000002,19879.93389285714,16858.74684285714,-1.0,False,,,2024-07-25T14:00:00+00:00,2024-08-21T14:00:00+00:00,18721.21,19054.664,19719.431,19895.519,True,True,none
